Верес,Ворскла,1-2
Верес,Динамо,1-1
Верес,Дніпро-1,1-1
Верес,Зоря,2-2
Верес,Колос,0-2
Верес,Кривбас,0-2
Верес,ЛНЗ,0-0
Верес,Металіст 1925,4-3
Верес,Минай,3-1
Верес,Оболонь,3-0
Верес,Олександрія,2-2
Верес,Полісся,0-2
Верес,Рух,2-5
Верес,Чорноморець,3-1
Верес,Шахтар,1-1
Ворскла,Верес,2-1
Ворскла,Динамо,1-5
Ворскла,Дніпро-1,2-3
Ворскла,Зоря,1-2
Ворскла,Колос,0-2
Ворскла,Кривбас,1-4
Ворскла,ЛНЗ,0-0
Ворскла,Металіст 1925,2-2
Ворскла,Минай,2-3
Ворскла,Оболонь,3-1
Ворскла,Олександрія,1-0
Ворскла,Полісся,0-3
Ворскла,Рух,1-1
Ворскла,Чорноморець,2-1
Ворскла,Шахтар,0-1
Динамо,Верес,3-0
Динамо,Ворскла,2-0
Динамо,Дніпро-1,0-1
Динамо,Зоря,2-0
Динамо,Колос,5-0
Динамо,Кривбас,3-1
Динамо,ЛНЗ,1-1
Динамо,Металіст 1925,4-2
Динамо,Минай,4-1
Динамо,Оболонь,2-0
Динамо,Олександрія,4-2
Динамо,Полісся,3-0
Динамо,Рух,2-0
Динамо,Чорноморець,1-0
Динамо,Шахтар,0-1
Дніпро-1,Верес,2-0
Дніпро-1,Ворскла,1-2
Дніпро-1,Динамо,1-2
Дніпро-1,Зоря,2-2
Дніпро-1,Колос,1-1
Дніпро-1,Кривбас,1-0
Дніпро-1,ЛНЗ,0-0
Дніпро-1,Металіст 1925,1-0
Дніпро-1,Минай,1-1
Дніпро-1,Оболонь,1-2
Дніпро-1,Олександрія,1-0
Дніпро-1,Полісся,2-1
Дніпро-1,Рух,0-1
Дніпро-1,Чорноморець,5-2
Дніпро-1,Шахтар,1-1
Зоря,Верес,1-1
Зоря,Ворскла,1-0
Зоря,Динамо,0-3
Зоря,Дніпро-1,0-1
Зоря,Колос,0-1
Зоря,Кривбас,1-3
Зоря,ЛНЗ,1-2
Зоря,Металіст 1925,2-1
Зоря,Минай,2-0
Зоря,Оболонь,0-0
Зоря,Олександрія,0-0
Зоря,Полісся,0-1
Зоря,Рух,0-0
Зоря,Чорноморець,1-0
Зоря,Шахтар,1-3
Колос,Верес,2-0
Колос,Ворскла,0-0
Колос,Динамо,1-1
Колос,Дніпро-1,0-2
Колос,Зоря,0-1
Колос,Кривбас,0-3
Колос,ЛНЗ,1-3
Колос,Металіст 1925,1-1
Колос,Минай,2-0
Колос,Оболонь,0-0
Колос,Олександрія,0-0
Колос,Полісся,0-0
Колос,Рух,0-1
Колос,Чорноморець,2-0
Колос,Шахтар,0-2
Кривбас,Верес,2-1
Кривбас,Ворскла,1-1
Кривбас,Динамо,0-2
Кривбас,Дніпро-1,3-0
Кривбас,Зоря,2-2
Кривбас,Колос,1-0
Кривбас,ЛНЗ,2-0
Кривбас,Металіст 1925,3-0
Кривбас,Минай,3-0
Кривбас,Оболонь,1-0
Кривбас,Олександрія,2-1
Кривбас,Полісся,0-1
Кривбас,Рух,1-3
Кривбас,Чорноморець,1-0
Кривбас,Шахтар,3-3
ЛНЗ,Верес,1-0
ЛНЗ,Ворскла,1-0
ЛНЗ,Динамо,2-4
ЛНЗ,Дніпро-1,1-1
ЛНЗ,Зоря,2-1
ЛНЗ,Колос,1-1
ЛНЗ,Кривбас,0-3
ЛНЗ,Металіст 1925,0-1
ЛНЗ,Минай,1-2
ЛНЗ,Оболонь,3-0
ЛНЗ,Олександрія,0-0
ЛНЗ,Полісся,1-2
ЛНЗ,Рух,2-1
ЛНЗ,Чорноморець,0-2
ЛНЗ,Шахтар,0-3
Металіст 1925,Верес,1-2
Металіст 1925,Ворскла,3-2
Металіст 1925,Динамо,2-4
Металіст 1925,Дніпро-1,1-1
Металіст 1925,Зоря,2-1
Металіст 1925,Колос,0-0
Металіст 1925,Кривбас,1-3
Металіст 1925,ЛНЗ,1-1
Металіст 1925,Минай,1-0
Металіст 1925,Оболонь,1-1
Металіст 1925,Олександрія,0-3
Металіст 1925,Полісся,3-3
Металіст 1925,Рух,1-4
Металіст 1925,Чорноморець,2-1
Металіст 1925,Шахтар,1-2
Минай,Верес,0-0
Минай,Ворскла,0-0
Минай,Динамо,1-3
Минай,Дніпро-1,1-1
Минай,Зоря,1-1
Минай,Колос,3-2
Минай,Кривбас,0-1
Минай,ЛНЗ,0-3
Минай,Металіст 1925,2-0
Минай,Оболонь,0-1
Минай,Олександрія,2-2
Минай,Полісся,2-3
Минай,Рух,1-1
Минай,Чорноморець,2-0
Минай,Шахтар,1-4
Оболонь,Верес,0-0
Оболонь,Ворскла,0-1
Оболонь,Динамо,2-4
Оболонь,Дніпро-1,0-1
Оболонь,Зоря,2-4
Оболонь,Колос,0-0
Оболонь,Кривбас,0-0
Оболонь,ЛНЗ,1-0
Оболонь,Металіст 1925,1-0
Оболонь,Минай,1-1
Оболонь,Олександрія,0-3
Оболонь,Полісся,1-0
Оболонь,Рух,0-0
Оболонь,Чорноморець,1-1
Оболонь,Шахтар,0-3
Олександрія,Верес,1-0
Олександрія,Ворскла,1-0
Олександрія,Динамо,0-1
Олександрія,Дніпро-1,1-0
Олександрія,Зоря,0-0
Олександрія,Колос,0-1
Олександрія,Кривбас,1-0
Олександрія,ЛНЗ,1-2
Олександрія,Металіст 1925,1-0
Олександрія,Минай,1-1
Олександрія,Оболонь,2-2
Олександрія,Полісся,0-3
Олександрія,Рух,2-2
Олександрія,Чорноморець,1-5
Олександрія,Шахтар,0-3
Полісся,Верес,1-1
Полісся,Ворскла,1-0
Полісся,Динамо,3-2
Полісся,Дніпро-1,1-1
Полісся,Зоря,1-1
Полісся,Колос,1-0
Полісся,Кривбас,1-1
Полісся,ЛНЗ,0-1
Полісся,Металіст 1925,2-1
Полісся,Минай,2-1
Полісся,Оболонь,2-0
Полісся,Олександрія,1-2
Полісся,Рух,0-1
Полісся,Чорноморець,1-4
Полісся,Шахтар,2-0
Рух,Верес,3-1
Рух,Ворскла,4-1
Рух,Динамо,1-2
Рух,Дніпро-1,0-2
Рух,Зоря,2-1
Рух,Колос,1-1
Рух,Кривбас,1-1
Рух,ЛНЗ,1-0
Рух,Металіст 1925,1-1
Рух,Минай,0-0
Рух,Оболонь,2-2
Рух,Олександрія,0-0
Рух,Полісся,1-1
Рух,Чорноморець,2-0
Рух,Шахтар,1-1
Чорноморець,Верес,0-1
Чорноморець,Ворскла,0-1
Чорноморець,Динамо,3-2
Чорноморець,Дніпро-1,0-2
Чорноморець,Зоря,0-0
Чорноморець,Колос,1-0
Чорноморець,Кривбас,1-2
Чорноморець,ЛНЗ,1-3
Чорноморець,Металіст 1925,3-0
Чорноморець,Минай,3-0
Чорноморець,Оболонь,2-0
Чорноморець,Олександрія,3-2
Чорноморець,Полісся,1-0
Чорноморець,Рух,2-3
Чорноморець,Шахтар,1-4
Шахтар,Верес,2-0
Шахтар,Ворскла,1-2
Шахтар,Динамо,1-0
Шахтар,Дніпро-1,1-3
Шахтар,Зоря,2-1
Шахтар,Колос,3-2
Шахтар,Кривбас,5-2
Шахтар,ЛНЗ,3-0
Шахтар,Металіст 1925,2-0
Шахтар,Минай,2-0
Шахтар,Оболонь,1-0
Шахтар,Олександрія,2-1
Шахтар,Полісся,0-0
Шахтар,Рух,3-1
Шахтар,Чорноморець,3-0